Exam,Year,PaperOrSection,QuestionNumber,PageStart,SourceFile,QuestionLink,SolutionLink_Official,SolutionLink_Answers,SolutionLink_Worked,Topic,Subtopic,ESAT_Module,ESAT_SpecRef,ESAT_Strict,ESAT_Broad,PAT_SpecRef,PAT_Compatibility_Strict,PAT_Compatibility_Broad,Notes,PublicQuestionURL,PublicSolutionURL_Official,PublicSolutionURL_Answers,PublicSolutionURL_Worked
PAT,2019,Part A,15a,20,PAT 2019.pdf,PAT 2019.pdf#page=20,PAT-2019-Solutions.pdf#page=13,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=20,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=13,,
PAT,2019,Part A,15b,20,PAT 2019.pdf,PAT 2019.pdf#page=20,PAT-2019-Solutions.pdf#page=13,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=20,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=13,,
PAT,2019,Part A,15c,20,PAT 2019.pdf,PAT 2019.pdf#page=20,PAT-2019-Solutions.pdf#page=13,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=20,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=13,,
PAT,2019,Part A,16a,24,PAT 2019.pdf,PAT 2019.pdf#page=24,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=24,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=15,,
PAT,2019,Part A,16b,24,PAT 2019.pdf,PAT 2019.pdf#page=24,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=24,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=15,,
PAT,2019,Part A,16c,24,PAT 2019.pdf,PAT 2019.pdf#page=24,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=24,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=15,,
PAT,2019,Part A,17a,26,PAT 2019.pdf,PAT 2019.pdf#page=26,PAT-2019-Solutions.pdf#page=16,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=26,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=16,,
PAT,2019,Part A,17b,26,PAT 2019.pdf,PAT 2019.pdf#page=26,PAT-2019-Solutions.pdf#page=16,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=26,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=16,,
PAT,2019,Part A,18,28,PAT 2019.pdf,PAT 2019.pdf#page=28,PAT-2019-Solutions.pdf#page=17,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=28,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=17,,
PAT,2019,Part A,19a,30,PAT 2019.pdf,PAT 2019.pdf#page=30,PAT-2019-Solutions.pdf#page=18,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=30,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=18,,
PAT,2019,Part A,19b,30,PAT 2019.pdf,PAT 2019.pdf#page=30,PAT-2019-Solutions.pdf#page=18,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=30,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=18,,
PAT,2019,Part A,20a,32,PAT 2019.pdf,PAT 2019.pdf#page=32,PAT-2019-Solutions.pdf#page=19,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=32,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=19,,
PAT,2019,Part A,20b,32,PAT 2019.pdf,PAT 2019.pdf#page=32,PAT-2019-Solutions.pdf#page=19,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=32,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=19,,
PAT,2019,Part A,21a,34,PAT 2019.pdf,PAT 2019.pdf#page=34,PAT-2019-Solutions.pdf#page=20,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=34,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=20,,
PAT,2019,Part A,21b,34,PAT 2019.pdf,PAT 2019.pdf#page=34,PAT-2019-Solutions.pdf#page=20,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=34,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=20,,
PAT,2019,Part A,21c,34,PAT 2019.pdf,PAT 2019.pdf#page=34,PAT-2019-Solutions.pdf#page=20,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=34,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=20,,
PAT,2019,Part A,22,36,PAT 2019.pdf,PAT 2019.pdf#page=36,PAT-2019-Solutions.pdf#page=21,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=36,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=21,,
PAT,2019,Part A,23,37,PAT 2019.pdf,PAT 2019.pdf#page=37,PAT-2019-Solutions.pdf#page=22,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=37,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=22,,
PAT,2019,Part A,24a,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=38,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=15,,
PAT,2019,Part A,24b,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=38,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=15,,
PAT,2019,Part A,24c,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=38,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=15,,
PAT,2019,Part A,24d,38,PAT 2019.pdf,PAT 2019.pdf#page=38,PAT-2019-Solutions.pdf#page=23,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019.pdf#page=38,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2020-Solutions.pdf#page=23,,
PAT,2018,Part A,1,2,PAT 2018.pdf,PAT 2018.pdf#page=2,PAT-2018-Solutions.pdf#page=2,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=2,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=2,,
PAT,2018,Part A,2,2,PAT 2018.pdf,PAT 2018.pdf#page=2,PAT-2018-Solutions.pdf#page=2,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=2,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=2,,
PAT,2018,Part A,3,3,PAT 2018.pdf,PAT 2018.pdf#page=3,PAT-2018-Solutions.pdf#page=3,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=3,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=3,,
PAT,2018,Part A,4,3,PAT 2018.pdf,PAT 2018.pdf#page=3,PAT-2018-Solutions.pdf#page=3,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=3,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=3,,
PAT,2018,Part A,5,5,PAT 2018.pdf,PAT 2018.pdf#page=5,PAT-2018-Solutions.pdf#page=4,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=5,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=4,,
PAT,2018,Part A,6,5,PAT 2018.pdf,PAT 2018.pdf#page=5,PAT-2018-Solutions.pdf#page=4,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=5,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=4,,
PAT,2018,Part A,7,6,PAT 2018.pdf,PAT 2018.pdf#page=6,PAT-2018-Solutions.pdf#page=5,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=6,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=5,,
PAT,2018,Part A,8,6,PAT 2018.pdf,PAT 2018.pdf#page=6,PAT-2018-Solutions.pdf#page=5,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=6,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=5,,
PAT,2018,Part A,9,7,PAT 2018.pdf,PAT 2018.pdf#page=7,PAT-2018-Solutions.pdf#page=6,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=7,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=6,,
PAT,2018,Part A,10,7,PAT 2018.pdf,PAT 2018.pdf#page=7,PAT-2018-Solutions.pdf#page=6,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=7,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=6,,
PAT,2018,Part A,11,8,PAT 2018.pdf,PAT 2018.pdf#page=8,PAT-2018-Solutions.pdf#page=7,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=8,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=7,,
PAT,2018,Part A,12,9,PAT 2018.pdf,PAT 2018.pdf#page=9,PAT-2018-Solutions.pdf#page=8,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=9,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=8,,
PAT,2018,Part A,13,9,PAT 2018.pdf,PAT 2018.pdf#page=9,PAT-2018-Solutions.pdf#page=8,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=9,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=8,,
PAT,2018,Part A,14,11,PAT 2018.pdf,PAT 2018.pdf#page=11,PAT-2018-Solutions.pdf#page=9,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=11,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=9,,
PAT,2018,Part A,15a,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=12,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=10,,
PAT,2018,Part A,15b,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=12,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=10,,
PAT,2018,Part A,15c,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=12,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=10,,
PAT,2018,Part A,15d,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=12,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=10,,
PAT,2018,Part A,15e,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=12,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=10,,
PAT,2018,Part A,15f,12,PAT 2018.pdf,PAT 2018.pdf#page=12,PAT-2018-Solutions.pdf#page=10,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=12,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=10,,
PAT,2018,Part A,16,14,PAT 2018.pdf,PAT 2018.pdf#page=14,PAT-2018-Solutions.pdf#page=11,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=14,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=11,,
PAT,2018,Part A,17,15,PAT 2018.pdf,PAT 2018.pdf#page=15,PAT-2018-Solutions.pdf#page=12,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=15,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=12,,
PAT,2018,Part A,18a,16,PAT 2018.pdf,PAT 2018.pdf#page=16,PAT-2018-Solutions.pdf#page=13,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=16,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=13,,
PAT,2018,Part A,18b,16,PAT 2018.pdf,PAT 2018.pdf#page=16,PAT-2018-Solutions.pdf#page=13,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=16,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=13,,
PAT,2018,Part A,19a,18,PAT 2018.pdf,PAT 2018.pdf#page=18,PAT-2018-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=18,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=15,,
PAT,2018,Part A,19b,18,PAT 2018.pdf,PAT 2018.pdf#page=18,PAT-2018-Solutions.pdf#page=15,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=18,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=15,,
PAT,2018,Part A,20a,20,PAT 2018.pdf,PAT 2018.pdf#page=20,PAT-2018-Solutions.pdf#page=16,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=20,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=16,,
PAT,2018,Part A,20b,20,PAT 2018.pdf,PAT 2018.pdf#page=20,PAT-2018-Solutions.pdf#page=16,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=20,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=16,,
PAT,2018,Part A,20c,20,PAT 2018.pdf,PAT 2018.pdf#page=20,PAT-2018-Solutions.pdf#page=16,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=20,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=16,,
PAT,2018,Part A,21a,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=22,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=18,,
PAT,2018,Part A,21b,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=22,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=18,,
PAT,2018,Part A,21c,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=22,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=18,,
PAT,2018,Part A,21d,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=22,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=18,,
PAT,2018,Part A,21e,22,PAT 2018.pdf,PAT 2018.pdf#page=22,PAT-2018-Solutions.pdf#page=18,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=22,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=18,,
PAT,2018,Part A,22,24,PAT 2018.pdf,PAT 2018.pdf#page=24,PAT-2018-Solutions.pdf#page=20,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=24,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=20,,
PAT,2018,Part A,23,26,PAT 2018.pdf,PAT 2018.pdf#page=26,PAT-2018-Solutions.pdf#page=21,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2018.pdf#page=26,https://tb861123.github.io/ESAT-PAT-GOT/docs/PAT-2019-Solutions.pdf#page=21,,
ENGAA,2018,Section 1,0,13,ENGAA 2018 Section 1.pdf,ENGAA 2018 Section 1.pdf#page=13,ENGAA-2018-Section-1-Solutions.pdf#page=12,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-1.pdf#page=13,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-2-Solutions.pdf#page=12,,
ENGAA,2018,Section 1,1,4,ENGAA 2018 Section 1.pdf,ENGAA 2018 Section 1.pdf#page=4,ENGAA-2018-Section-1-Solutions.pdf#page=3,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-1.pdf#page=4,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-2-Solutions.pdf#page=3,,
ENGAA,2018,Section 1,2,4,ENGAA 2018 Section 1.pdf,ENGAA 2018 Section 1.pdf#page=4,ENGAA-2018-Section-1-Solutions.pdf#page=3,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-1.pdf#page=4,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-2-Solutions.pdf#page=3,,
ENGAA,2018,Section 1,3,1,ENGAA 2018 Section 1.pdf,ENGAA 2018 Section 1.pdf#page=1,ENGAA-2018-Section-1-Solutions.pdf#page=4,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-1.pdf#page=1,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-2-Solutions.pdf#page=4,,
ENGAA,2018,Section 1,4,6,ENGAA 2018 Section 1.pdf,ENGAA 2018 Section 1.pdf#page=6,ENGAA-2018-Section-1-Solutions.pdf#page=5,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-1.pdf#page=6,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-2-Solutions.pdf#page=5,,
ENGAA,2018,Section 1,5,1,ENGAA 2018 Section 1.pdf,ENGAA 2018 Section 1.pdf#page=1,ENGAA-2018-Section-1-Solutions.pdf#page=6,,,,,,,,,,,,,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-1.pdf#page=1,https://tb861123.github.io/ESAT-PAT-GOT/docs/ENGAA-2018-Section-2-Solutions.pdf#page=6,,
